Country,Region
Monaco,Western Europe
Mongolia,Asia
Montserrat,Latin America and the Caribbean
Morocco,Northern Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Nauru,Oceania
Nepal,Asia
Netherlands,Western Europe
Netherlands Antilles,Latin America and the Caribbean
New Caledonia,Oceania
New Zealand,Oceania
Nicaragua,Latin America and the Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
N. Mariana Islands,Oceania
Norway,Western Europe
Oman,Near East
Pakistan,Asia
Palau,Oceania
Panama,Latin America and the Caribbean
Papua New Guinea,Oceania
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
Philippines,Asia
Poland,Eastern Europe
Portugal,Western Europe
Puerto Rico,Latin America and the Caribbean
Qatar,Near East
Reunion,Sub-Saharan Africa
Romania,Eastern Europe
Russia,Commonwealth of Independent States
Rwanda,Sub-Saharan Africa
Saint Helena,Sub-Saharan Africa
Saint Kitts & Nevis,Latin America and the Caribbean
Saint Lucia,Latin America and the Caribbean
St Pierre & Miquelon,Northern America
Saint Vincent and the Grenadines,Latin America and the Caribbean
Samoa,Oceania
San Marino,Western Europe
Sao Tome & Principe,Sub-Saharan Africa
Saudi Arabia,Near East
Senegal,Sub-Saharan Africa
Serbia,Eastern Europe
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,Asia
Slovakia,Eastern Europe
Slovenia,Eastern Europe
Solomon Islands,Oceania
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Spain,Western Europe
Sri Lanka,Asia
Sudan,Sub-Saharan Africa
Suriname,Latin America and the Caribbean
Swaziland,Sub-Saharan Africa
Sweden,Western Europe
Switzerland,Western Europe
Syria,Near East
Taiwan,Asia
Tajikistan,Commonwealth of Independent States
Tanzania,Sub-Saharan Africa
Thailand,Asia
Togo,Sub-Saharan Africa
Tonga,Oceania
Trinidad & Tobago,Latin America and the Caribbean
Tunisia,Northern Africa
Turkey,Near East
Turkmenistan,Commonwealth of Independent States
Turks & Caicos Is,Latin America and the Caribbean
Tuvalu,Oceania
Uganda,Sub-Saharan Africa
Ukraine,Commonwealth of Independent States
United Arab Emirates,Near East
United Kingdom,Western Europe
United States,Northern America
Uruguay,Latin America and the Caribbean
Uzbekistan,Commonwealth of Independent States
Vanuatu,Oceania
Venezuela,Latin America and the Caribbean
Vietnam,Asia
Virgin Islands,Latin America and the Caribbean
Wallis and Futuna,Oceania
West Bank,Near East
Western Sahara,Northern Africa
Yemen,Near East
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
